event_date,event_timestamp,event_name,event_bundle_sequence_id,user_pseudo_id,user_first_touch_timestamp,stream_id,platform,event_params_page_title,event_params_ga_session_id,event_params_page_location,event_params_session_engaged,event_params_engagement_time_msec,event_params_ga_session_number,event_params_engaged_session_event
20230914,1694685617733551,scroll,-1103085649,2045365191.1694417,1694419630602476,6092560544,WEB,Viktor Byskov - Viktor Byskov,,,,,,1.0
20230914,1694690800988753,scroll,-214797743,2045365191.1694417,1694419630602476,6092560544,WEB,,,,,,,1.0
20230914,1694690800988753,scroll,-214797743,2045365191.1694417,1694419630602476,6092560544,WEB,,,https://viktorbyskov.dk/,,,5.0,1.0
20230914,1694691963898048,scroll,948111552,2045365191.1694417,1694419630602476,6092560544,WEB,Viktor Byskov - Viktor Byskov,,,1.0,380.0,,1.0
20230914,1694691963898048,scroll,948111552,2045365191.1694417,1694419630602476,6092560544,WEB,Viktor Byskov - Viktor Byskov,,https://viktorbyskov.dk/,1.0,1.0,5.0,1.0
20230914,1694692198083209,scroll,1182296713,2045365191.1694417,1694419630602476,6092560544,WEB,Viktor Byskov - Viktor Byskov,,,1.0,,,1.0
20230914,1694692198083209,scroll,1182296713,2045365191.1694417,1694419630602476,6092560544,WEB,,1694690136.0,,,,,1.0
20230914,1694692203086665,scroll,1187300169,2045365191.1694417,1694419630602476,6092560544,WEB,,,https://viktorbyskov.dk/,1.0,,5.0,1.0
20230914,1694692676434554,scroll,1660648058,2045365191.1694417,1694419630602476,6092560544,WEB,,,https://viktorbyskov.dk/,1.0,,5.0,1.0
20230914,1694692678160422,scroll,1662373926,2045365191.1694417,1694419630602476,6092560544,WEB,Viktor Byskov - Viktor Byskov,1694690136.0,https://viktorbyskov.dk/,1.0,,5.0,1.0
20230914,1694692685702252,scroll,1669915756,2045365191.1694417,1694419630602476,6092560544,WEB,Viktor Byskov - Viktor Byskov,,https://viktorbyskov.dk/,,95.0,5.0,1.0
20230914,1694692685702252,scroll,1669915756,2045365191.1694417,1694419630602476,6092560544,WEB,,1694690136.0,,1.0,728.0,5.0,1.0
20230914,1694692685702252,scroll,1669915756,2045365191.1694417,1694419630602476,6092560544,WEB,Viktor Byskov - Viktor Byskov,1694690136.0,,1.0,,5.0,1.0
20230914,1694692685706080,scroll,1669919584,2045365191.1694417,1694419630602476,6092560544,WEB,Viktor Byskov - Viktor Byskov,1694690136.0,https://viktorbyskov.dk/,1.0,1.0,5.0,1.0
20230914,1694692690729190,scroll,1674942694,2045365191.1694417,1694419630602476,6092560544,WEB,Viktor Byskov - Viktor Byskov,,https://viktorbyskov.dk/,1.0,,5.0,1.0
20230914,1694692746718853,scroll,1730932357,2045365191.1694417,1694419630602476,6092560544,WEB,Viktor Byskov - Viktor Byskov,,https://viktorbyskov.dk/,,,,1.0
20230914,1694692751728517,scroll,1735942021,2045365191.1694417,1694419630602476,6092560544,WEB,Viktor Byskov - Viktor Byskov,1694690136.0,https://viktorbyskov.dk/,1.0,1036.0,5.0,1.0
20230914,1694692751728517,scroll,1735942021,2045365191.1694417,1694419630602476,6092560544,WEB,Viktor Byskov - Viktor Byskov,1694690136.0,,1.0,,5.0,1.0
20230914,1694693275801542,scroll,-2034952250,2045365191.1694417,1694419630602476,6092560544,WEB,Viktor Byskov - Viktor Byskov,1694690136.0,https://viktorbyskov.dk/,,,5.0,1.0
20230914,1694693275801542,scroll,-2034952250,2045365191.1694417,1694419630602476,6092560544,WEB,Viktor Byskov - Viktor Byskov,1694690136.0,https://viktorbyskov.dk/,1.0,1592.0,5.0,1.0
20230914,1694690136662710,scroll,-879123786,2045365191.1694417,1694419630602476,6092560544,WEB,Viktor Byskov - Viktor Byskov,1694690136.0,https://viktorbyskov.dk/?gtm_debug=1694690131638,0.0,549.0,5.0,1.0
20230914,1694690139696361,scroll,-876090135,2045365191.1694417,1694419630602476,6092560544,WEB,Viktor Byskov - Viktor Byskov,,https://viktorbyskov.dk/?gtm_debug=1694690131638,,,5.0,1.0
20230914,1694690278838714,scroll,-736947782,2045365191.1694417,1694419630602476,6092560544,WEB,,,,1.0,,,1.0
20230914,1694690284411945,scroll,-731374551,2045365191.1694417,1694419630602476,6092560544,WEB,,,,,5376.0,,1.0
20230914,1694690285460316,scroll,-730326180,2045365191.1694417,1694419630602476,6092560544,WEB,,,,,,,1.0
20230914,1694690596641038,scroll,-419145458,2045365191.1694417,1694419630602476,6092560544,WEB,Viktor Byskov - Viktor Byskov,,,1.0,,,1.0
20230914,1694690599710839,scroll,-416075657,2045365191.1694417,1694419630602476,6092560544,WEB,Viktor Byskov - Viktor Byskov,1694690136.0,,1.0,,5.0,1.0
