event_date,event_timestamp,event_name,event_bundle_sequence_id,user_pseudo_id,user_first_touch_timestamp,stream_id,platform,event_params_page_title,event_params_ga_session_id,event_params_page_location,event_params_session_engaged,event_params_engagement_time_msec,event_params_ga_session_number,event_params_engaged_session_event
20231031,1698752471898890,session_start,-1582949622,2045365191.1694419630,1694419630602476,6092560544,WEB,Viktor Byskov - Viktor Byskov,1698752471,https://viktorbyskov.dk/,,,16,1
20231031,1698752471898890,page_view,-1582949622,2045365191.1694419630,1694419630602476,6092560544,WEB,,1698752471,,,,16,1
20231031,1698752477433200,scroll_10,-1577415312,2045365191.1694419630,1694419630602476,6092560544,WEB,,,https://viktorbyskov.dk/,0,,,1
20231031,1698752477433200,scroll_50,-1577415312,2045365191.1694419630,1694419630602476,6092560544,WEB,Viktor Byskov - Viktor Byskov,,,,,16,1
20231031,1698752477433200,scroll_75,-1577415312,2045365191.1694419630,1694419630602476,6092560544,WEB,,1698752471,https://viktorbyskov.dk/,0,1195,,1
20231031,1698752485036049,scroll,-1569812463,2045365191.1694419630,1694419630602476,6092560544,WEB,Viktor Byskov - Viktor Byskov,1698752471,https://viktorbyskov.dk/,1,8279,16,1
20231031,1698756419049437,session_start,-1930766371,2045365191.1694419630,1694419630602476,6092560544,WEB,Viktor Byskov - Viktor Byskov,1698756418,https://viktorbyskov.dk/,,,17,
20231031,1698756419049437,user_engagement,-1930766371,2045365191.1694419630,1694419630602476,6092560544,WEB,Viktor Byskov - Viktor Byskov,1698756418,https://viktorbyskov.dk/,0,,17,
20231031,1698752485036398,scroll_90,-1569812114,2045365191.1694419630,1694419630602476,6092560544,WEB,,,,,6,,1
20231031,1698752491632241,sec20_timer,-1563216271,2045365191.1694419630,1694419630602476,6092560544,WEB,,,https://viktorbyskov.dk/,1,2224,16,1
