event_date,event_timestamp,event_name,event_bundle_sequence_id,user_pseudo_id,user_first_touch_timestamp,stream_id,platform,event_params_page_title,event_params_ga_session_id,event_params_page_location,event_params_session_engaged,event_params_engagement_time_msec,event_params_ga_session_number,event_params_engaged_session_event
20231017,1697550327628743,scroll_50,-1136376889,1654193663.1697548458,1697548457884047,6092560544,WEB,Viktor Byskov - Viktor Byskov,1697548457,https://viktorbyskov.dk/,1,15040,1,1
20231017,1697550342120452,scroll_75,-1121885180,1654193663.1697548458,1697548457884047,6092560544,WEB,Viktor Byskov - Viktor Byskov,1697548457,https://viktorbyskov.dk/,1,14739,1,1
20231017,1697550343080509,scroll,-1120925123,1654193663.1697548458,1697548457884047,6092560544,WEB,Viktor Byskov - Viktor Byskov,1697548457,https://viktorbyskov.dk/,,5963,1,1
20231017,1697550343082497,scroll_90,-1120923135,1654193663.1697548458,1697548457884047,6092560544,WEB,Viktor Byskov - Viktor Byskov,1697548457,https://viktorbyskov.dk/,1,,,1
20231017,1697554342951352,session_start,-1416021576,1654193663.1697548458,1697548457884047,6092560544,WEB,,,,,,2,1
20231017,1697554342951352,page_view,-1416021576,1654193663.1697548458,1697548457884047,6092560544,WEB,Viktor Byskov - Viktor Byskov,1697554342,,0,,2,1
20231017,1697554342951846,scroll,-1416021082,1654193663.1697548458,1697548457884047,6092560544,WEB,Viktor Byskov - Viktor Byskov,1697554342,https://viktorbyskov.dk/,0,,2,1
20231017,1697554342952683,scroll_10,-1416020245,1654193663.1697548458,1697548457884047,6092560544,WEB,,,,0,,2,1
20231017,1697554342952683,scroll_50,-1416020245,1654193663.1697548458,1697548457884047,6092560544,WEB,Viktor Byskov - Viktor Byskov,,https://viktorbyskov.dk/,0,,,1
20231017,1697554342952683,scroll_75,-1416020245,1654193663.1697548458,1697548457884047,6092560544,WEB,,,,,,,1
20231017,1697554342952782,scroll_90,-1416020146,1654193663.1697548458,1697548457884047,6092560544,WEB,,,https://viktorbyskov.dk/,0,,,1
20231017,1697548457884047,first_visit,1288845711,1654193663.1697548458,1697548457884047,6092560544,WEB,,,,,,,1
20231017,1697548457884047,session_start,1288845711,1654193663.1697548458,1697548457884047,6092560544,WEB,,1697548457,https://viktorbyskov.dk/,,,,1
20231017,1697548457884047,page_view,1288845711,1654193663.1697548458,1697548457884047,6092560544,WEB,,,,,,,1
20231017,1697549647314501,scroll_10,-1816691131,1654193663.1697548458,1697548457884047,6092560544,WEB,Viktor Byskov - Viktor Byskov,1697548457,https://viktorbyskov.dk/,0,57,1,1
20231017,1697549647316935,sec20_timer,-1816688697,1654193663.1697548458,1697548457884047,6092560544,WEB,,,,0,1984,1,1
